Word,Seq_num,Word Count,Word Proportion,Average Proportion,Std Dev,Doc Count,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,Complexity,Syllables,Source
AARDVARK,1,664,2.69E-08,1.86E-08,4.05E-06,131,0,0,0,0,0,0,0,0,2,12of12inf
AARDVARKS,2,3,1.21E-10,8.23E-12,9.02E-09,1,0,0,0,0,0,0,0,0,2,12of12inf
ABACI,3,9,3.64E-10,1.11E-10,5.16E-08,7,0,0,0,0,0,0,0,0,3,12of12inf
ABACK,4,29,1.17E-09,6.33E-10,1.56E-07,28,0,0,0,0,0,0,0,0,2,12of12inf
ABACUS,5,9349,3.79E-07,3.83E-07,3.46E-05,1239,0,0,0,0,0,0,0,0,3,12of12inf
ABACUSES,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABAFT,7,4,1.62E-10,2.19E-11,2.40E-08,1,0,0,0,0,0,0,0,0,2,12of12inf
ABALONE,8,147,5.95E-09,4.81E-09,1.04E-06,51,0,0,0,0,0,0,0,0,4,12of12inf
ABALONES,9,1,4.05E-11,7.88E-11,8.63E-08,1,0,0,0,0,0,0,0,0,4,12of12inf
ABANDON,10,146131,5.92E-06,4.80E-06,3.28E-05,73436,2009,0,0,0,0,0,0,0,3,12of12inf
ABANDONED,11,256917,1.04E-05,1.05E-05,9.16E-05,112728,2009,0,0,0,0,0,0,0,3,12of12inf
ABANDONING,12,21957,8.89E-07,8.31E-07,1.21E-05,13725,2009,0,0,0,0,0,0,0,4,12of12inf
ABANDONMENT,13,306758,1.24E-05,1.22E-05,8.05E-05,101864,2009,0,0,0,0,0,0,0,4,12of12inf
ABANDONMENTS,14,16683,6.76E-07,9.19E-07,2.24E-05,6995,2009,0,0,0,0,0,0,0,4,12of12inf
ABANDONS,15,7867,3.19E-07,1.65E-07,3.58E-06,5637,2009,0,0,0,0,0,0,0,3,12of12inf
ABASE,16,49,1.98E-09,2.40E-09,5.94E-07,43,0,0,0,0,0,0,0,0,2,12of12inf
ABASED,17,75,3.04E-09,7.03E-09,1.78E-06,62,0,0,0,0,0,0,0,0,2,12of12inf
