nombre,isin_wikidata
Leonardo,IT0003856405
Bolloré,FR0000039299
SGS S.A.,CH0002497458
Smurfit Kappa,IE00B1RR8406
Safran,FR0000073272
Diploma,GB0001826634
Kone,FI0009000566
Rentokil Initial,GB0007327124
Halma plc,GB0004052071
Mondi,GB00B1CRLC47
Wise,GB00BL9YR756
Zurich Insurance Group,CH0011075394
Prudential,GB0007099541
ABN AMRO,NL0011540547
Standard Chartered,GB0004082847
Investec,GB0031773103
Lloyds Banking Group,GB0008706128
Partners Group,CH0024608827
Intesa Sanpaolo,IT0000072618
Phoenix Group,GB00BGXQNP29
Universal Music Group,
KPN,
BT Group,
Vivendi,
Ericsson,
Novo Nordisk,
ConvaTec,
Alcon,
Qiagen,
Lonza Group,
Lanxess,
Endeavour Mining,
Croda International,
Symrise,
Adevinta,
Hugo Boss,
Richemont,
Enel,IT0003128367
Acciona Energía,
Engie,
Balfour Beatty,
Skanska,
Vinci,FR0000125486
Delivery Hero,
Travis Perkins,GB00BV9FP302
H&M,
Lumibird,
TomTom,
STMicroelectronics,
British American Tobacco,
Swedish Match,
Unite Group,
Segro,
Repsol,
Aker BP,
Compass Group,
Flutter Entertainment,
Stellantis,NL00150001Q9
Mercedes-Benz Group,
Reckitt,
