ticker_wiki,nombre,sector_icb,pais,sede,sufijo,ticker_yf,supersector,id_empresa
STLAM,Stellantis,Automobiles and Parts,Netherlands,Hoofddorp,.AS,STLA,Consumer Discretionary,E001
MBG,Mercedes-Benz Group,Automobiles and Parts,Germany,Stuttgart,.DE,MBG.DE,Consumer Discretionary,E002
CON,Continental,Automobiles and Parts,Germany,Hanover,.DE,CON.DE,Consumer Discretionary,E003
FR,Valeo,Automobiles and Parts,France,Paris,.PA,FR.PA,Consumer Discretionary,E004
CABK,CaixaBank,Banks,Spain,Valencia,.MC,CABK.MC,Financials,E005
HSBA,HSBC,Banks,United Kingdom,London,.L,HSBA.L,Financials,E006
SEB,Skandinaviska Enskilda Banken,Banks,Sweden,Stockholm,.ST,SEB-A.ST,Financials,E007
RBI,Raiffeisen Bank International,Banks,Austria,Vienna,.VI,RBI.VI,Financials,E008
UPM,UPM-Kymmene,Basic Resources,Finland,Helsinki,.HE,UPM.HE,Basic Materials,E009
BOL,Boliden AB,Basic Resources,Sweden,Stockholm,.ST,BOL.ST,Basic Materials,E010
ACX,Acerinox,Basic Resources,Spain,Madrid,.MC,ACX.MC,Basic Materials,E011
VOE,Voestalpine,Basic Resources,Austria,Linz,.VI,VOE.VI,Basic Materials,E012
1COV,Covestro,Chemicals,Germany,Leverkusen,.DE,1COV.DE,Basic Materials,E013
SY1,Symrise,Chemicals,Germany,Holzminden,.DE,SY1.DE,Basic Materials,E014
YAR,Yara International,Chemicals,Norway,Oslo,.OL,YAR.OL,Basic Materials,E015
BBY,Balfour Beatty,Construction and Materials,United Kingdom,London,.L,BBY.L,Industrials,E016
SKA B,Skanska,Construction and Materials,Sweden,Stockholm,.ST,SKA-B.ST,Industrials,E017
DG,Vinci,Construction and Materials,France,Rueil-Malmaison,.PA,DG.PA,Industrials,E018
EN,Bouygues,Construction and Materials,France,Paris,.PA,EN.PA,Industrials,E019
EFGI,Eiffage,Construction and Materials,France,Asnières-sur-Seine,.PA,FGR.PA,Industrials,E020
BRNW,Brunello Cucinelli,Consumer Products and Services,Italy,Solomeo,.MI,BC.MI,Consumer Discretionary,E021
BOSS,Hugo Boss,Consumer Products and Services,Germany,Metzingen,.DE,BOSS.DE,Consumer Discretionary,E022
CFR,Richemont,Consumer Products and Services,Switzerland,Bellevue,.SW,CFR.SW,Consumer Discretionary,E023
KER,Kering,Consumer Products and Services,France,Paris,.PA,KER.PA,Consumer Discretionary,E024
ADS,Adidas,Consumer Products and Services,Germany,Herzogenaurach,.DE,ADS.DE,Consumer Discretionary,E025
REP,Repsol,Energy,Spain,Madrid,.MC,REP.MC,Energy,E026
AKERBP,Aker BP,Energy,Norway,Lysaker,.OL,AKRBP.OL,Energy,E027
NSN,Neste,Energy,Finland,Espoo,.HE,NESTE.HE,Energy,E028
TGS,TGS,Energy,Norway,Oslo,.OL,TGS.OL,Energy,E029
VESTAS,Vestas,Energy,Denmark,Aarhus,.CO,VWS.CO,Energy,E030
LSEG,London Stock Exchange Group,Financial Services,United Kingdom,London,.L,LSEG.L,Financials,E031
ALLFG,Allfunds Group,Financial Services,Spain,Madrid,.MC,ALLFG.AS,Financials,E032
WEND,Wendel,Financial Services,France,Paris,.PA,MF.PA,Financials,E033
III,3i,Financial Services,United Kingdom,London,.L,III.L,Financials,E034
EXO,Exor,Financial Services,Netherlands,Amsterdam,.AS,EXO.AS,Financials,E035
GLB,Glanbia,"Food, Beverage and Tobacco",Ireland,Kilkenny,.IR,GLB.L,Consumer Staples,E036
PERP,Pernod Ricard,"Food, Beverage and Tobacco",France,Paris,.PA,RI.PA,Consumer Staples,E037
CPR,Davide Campari-Milano,"Food, Beverage and Tobacco",Italy,Sesto San Giovanni,.MI,CPR.MI,Consumer Staples,E038
NOVO B,Novo Nordisk,Health Care,Denmark,Bagsværd,.CO,NOVO-B.CO,Health Care,E039
CTEC,ConvaTec,Health Care,United Kingdom,Reading,.L,CTEC.L,Health Care,E040
ALC,Alcon,Health Care,Switzerland,Fribourg,.SW,ALC.SW,Health Care,E041
QIA,Qiagen,Health Care,Netherlands,Venlo,.AS,QGEN,Health Care,E042
LONN,Lonza Group,Health Care,Switzerland,Basel,.SW,LONN.SW,Health Care,E043
LDO,Leonardo,Industrial Goods and Services,Italy,Rome,.MI,LDO.MI,Industrials,E044
BOL,Bolloré,Industrial Goods and Services,France,Puteaux,.PA,BOL.PA,Industrials,E045
SGSN,SGS S.A.,Industrial Goods and Services,Switzerland,Geneva,.SW,SGSN.SW,Industrials,E046
SAF,Safran,Industrial Goods and Services,France,Paris,.PA,SAF.PA,Industrials,E047
CS,AXA,Insurance,France,Paris,.PA,CS.PA,Financials,E048
TLX,Talanx,Insurance,Germany,Hanover,.DE,TLX.DE,Financials,E049
AV,Aviva,Insurance,United Kingdom,London,.L,AV.L,Financials,E050
TRYG,Tryg,Insurance,Denmark,Ballerup,.CO,TRYG.CO,Financials,E051
ZURN,Zurich Insurance Group,Insurance,Switzerland,Zurich,.SW,ZURN.SW,Financials,E052
VPLAY B,Viaplay,Media,Sweden,Stockholm,.ST,VPLAY-B.ST,Communication Services,E053
ONT,Ontex,"Personal Care, Drug and Grocery Stores",Belgium,Aalst,.BR,ONTEX.BR,Consumer Staples,E054
ULVR,Unilever,"Personal Care, Drug and Grocery Stores",United Kingdom,London,.L,ULVR.L,Consumer Staples,E055
DIA,Dia,"Personal Care, Drug and Grocery Stores",Spain,Las Rozas,.MC,DIA.MC,Consumer Staples,E056
COLR,Colruyt,"Personal Care, Drug and Grocery Stores",Belgium,Halle,.BR,COLR.BR,Consumer Staples,E057
SGRO,Segro,Real Estate,United Kingdom,London,.L,SGRO.L,Real Estate,E058
MRL,Merlin Properties,Real Estate,Spain,Madrid,.MC,MRL.MC,Real Estate,E059
GFC,Gecina,Real Estate,France,Paris,.PA,GFC.PA,Real Estate,E060
CAST,Castellum,Real Estate,Sweden,Gothenburg,.ST,CAST.ST,Real Estate,E061
DHER,Delivery Hero,Retail,Germany,Berlin,.DE,DHER.DE,Consumer Discretionary,E062
TPK,Travis Perkins,Retail,United Kingdom,Northampton,.L,TPK.L,Consumer Discretionary,E063
HMB,H&M,Retail,Sweden,Stockholm,.ST,HNNMY,Consumer Discretionary,E064
MKS,Marks & Spencer,Retail,United Kingdom,London,.L,MKS.L,Consumer Discretionary,E065
JD,JD Sports,Retail,United Kingdom,Bury,.L,JD.L,Consumer Discretionary,E066
MELE,Melexis,Technology,Belgium,Ypres,.BR,MELE.BR,Technology,E067
SGE,Sage Group,Technology,United Kingdom,Newcastle upon Tyne,.L,SGE.L,Technology,E068
STMPA,STMicroelectronics,Technology,Netherlands,Geneva,.AS,STM,Technology,E069
VOD,Vodafone Group,Telecommunications,United Kingdom,Newbury,.L,VOD.L,Communication Services,E070
SCMN,Swisscom,Telecommunications,Switzerland,Ittigen,.SW,SCMN.SW,Communication Services,E071
FNTN,Freenet,Telecommunications,Germany,Büdelsdorf,.DE,FNTN.DE,Communication Services,E072
ORAN,Orange S.A.,Telecommunications,France,Issy-les-Moulineaux,.PA,ORA.PA,Communication Services,E073
TIT,Telecom Italia,Telecommunications,Italy,Milan,.MI,TIT.MI,Communication Services,E074
