ticker_wiki,nombre,sector_icb,pais,sede
ZURN,Zurich Insurance Group,Insurance,Switzerland,Zurich
VOD,Vodafone Group,Telecommunications,United Kingdom,Newbury
GSK,GSK plc,Health Care,United Kingdom,London
RIO,Rio Tinto Group,Basic Resources,United Kingdom,London
INGA,ING Group,Banks,Netherlands,Amsterdam
UBSG,UBS Group,Banks,Switzerland,Zurich
SAF,Safran,Industrial Goods and Services,France,Paris
DG,Vinci,Construction and Materials,France,Rueil-Malmaison
PRU,Prudential plc,Insurance,United Kingdom,London
BATS,British American Tobacco,"Food, Beverage and Tobacco",United Kingdom,London
STLAM,Stellantis,Automobiles and Parts,Netherlands,Hoofddorp
MBG,Mercedes-Benz Group,Automobiles and Parts,Germany,Stuttgart
HLI,Haleon,Consumer Products and Services,United Kingdom,Weybridge
FERR,Ferrari,Automobiles and Parts,Italy,Maranello
RMS,Hermès,Consumer Products and Services,France,Paris
VOLV B,Volvo Group,Industrial Goods and Services,Sweden,Gothenburg
ISP,Intesa Sanpaolo,Banks,Italy,Turin
INF,Informa,Media,United Kingdom,London
HMB,H&M,Retail,Sweden,Stockholm
SCHN,Schneider Electric,Industrial Goods and Services,France,Rueil-Malmaison
OREP,L'Oréal,Consumer Products and Services,France,Clichy
SGOB,Saint-Gobain,Construction and Materials,France,Courbevoie
PERP,Pernod Ricard,"Food, Beverage and Tobacco",France,Paris
ORAN,Orange S.A.,Telecommunications,France,Issy-les-Moulineaux
SOGN,Société Générale,Banks,France,Paris
MICP,Michelin,Automobiles and Parts,France,Clermont-Ferrand
SASY,Sanofi,Health Care,France,Paris
VIV,Vivendi,Media,France,Paris
STMPA,STMicroelectronics,Technology,Netherlands,Geneva
JMT,Jerónimo Martins,Retail,Portugal,Lisbon
BKT,Bankinter,Banks,Spain,Madrid
CABK,CaixaBank,Banks,Spain,Valencia
ENG,Enagás,Utilities,Spain,Madrid
NTGY,Naturgy,Utilities,Spain,Madrid
GRLS,Grifols,Health Care,Spain,Barcelona
FER,Ferrovial,Construction and Materials,Netherlands,Amsterdam
RED,Redeia,Utilities,Spain,Alcobendas
ITX,Inditex,Retail,Spain,Arteixo
REP,Repsol,Energy,Spain,Madrid
SAB,Banco Sabadell,Banks,Spain,Alicante
