id_empresa,empresa,ticker,pais,año,tipo_informe,url_fuente,fecha_descarga,n_paginas,idioma,estado,notas
E001,Stellantis,STLAM,Netherlands,2022,integrated,https://www.annualreports.com/HostedData/AnnualReportArchive/s/NYSE_STLA_2022.pdf,2026-05-28,50.0,,descargado,descarga directa bloqueada — descargar manualmente
E001,Stellantis,STLAM,Netherlands,2023,integrated,https://www.annualreports.com/HostedData/AnnualReportArchive/s/NYSE_STLA_2023.pdf,2026-05-28,51.0,,descargado,descarga directa bloqueada — descargar manualmente
E001,Stellantis,STLAM,Netherlands,2024,integrated,https://www.stellantis.com/en/investors/annual-reports,2026-05-29,442.0,en,descargado,descargado manualmente desde stellantis.com
E002,Mercedes-Benz Group,MBG,Germany,2022,integrated,https://www.annualreports.com/HostedData/AnnualReportArchive/m/OTC_MBGAF_2022.pdf,2026-05-28,42.0,,descargado,descarga directa bloqueada — descargar manualmente
E002,Mercedes-Benz Group,MBG,Germany,2023,integrated,https://www.annualreports.com/HostedData/AnnualReportArchive/m/OTC_MBGAF_2023.pdf,2026-05-28,41.0,,descargado,descarga directa bloqueada — descargar manualmente
E002,Mercedes-Benz Group,MBG,Germany,2024,integrated,https://www.mercedes-benz-group.com/en/investor-relations/reports-and-financials/annual-reports.html,2026-05-29,453.0,en,descargado,descargado manualmente desde IR mercedes-benz-group.com
E003,Continental,CON,Germany,2022,integrated,https://annualreport.continental.com/2022/en/service/docs/annual-report-2022-data.pdf,2026-05-26,64.0,,descargado,descarga directa bloqueada — descargar manualmente
E003,Continental,CON,Germany,2023,integrated,https://cdn.continental.com/fileadmin/__imported/sites/corporate/_international/english/hubpages/30_20investors/30_20reports/annual_20reports/downloads/annual_report_2023.pdf,2026-05-26,95.0,,descargado,descarga directa bloqueada — descargar manualmente
E003,Continental,CON,Germany,2024,integrated,https://cdn.continental.com/fileadmin/__imported/sites/corporate/_international/english/hubpages/30_20investors/30_20reports/annual_20reports/downloads/annual-report-2024.pdf,2026-05-26,116.0,,descargado,no encontrado automáticamente
E004,Valeo,FR,France,2022,integrated,https://www.bnains.org/archives/communiques/Valeo/20230330_Document_d_enregistrement_universel_2022_Valeo.pdf,2026-05-27,161.0,,descargado,no encontrado automáticamente
E004,Valeo,FR,France,2023,integrated,https://www.bnains.org/archives/communiques/Valeo/20240329_Document_d_enregistrement_universel_2023_Valeo.pdf,2026-05-27,213.0,,descargado,no encontrado automáticamente
E004,Valeo,FR,France,2024,integrated,https://www.valeo.com/wp-content/uploads/2025/04/Valeo_2024-Universal-registration-document.pdf,2026-05-27,140.0,,descargado,no encontrado automáticamente
E005,CaixaBank,CABK,Spain,2022,integrated,https://www.caixabank.com/deployedfiles/caixabank_com/Estaticos/PDFs/Accionistasinversores/Informacion_economico_financiera/CCAA-GRUP-CAIXABANK-ING.pdf,2026-05-26,476.0,,descargado,no encontrado automáticamente
E005,CaixaBank,CABK,Spain,2023,integrated,https://www.caixabank.com/deployedfiles/caixabank_com/Estaticos/PDFs/Accionistasinversores/Informacion_economico_financiera/CAIXABANK_2023_CAC_ING.pdf,2026-05-26,883.0,,descargado,no encontrado automáticamente
