ticker_yf,error,market_cap,moneda,sector_yf,industria_yf,pais_yf,ISIN,ingresos_2022,ebitda_2022,net_income_2022,total_assets_2022,equity_2022,deuda_2022,ROA_2022,ROE_2022,margen_beneficio_2022,deuda_equity_2022,ingresos_2023,ebitda_2023,net_income_2023,total_assets_2023,equity_2023,deuda_2023,ROA_2023,ROE_2023,margen_beneficio_2023,deuda_equity_2023,ingresos_2024,ebitda_2024,net_income_2024,total_assets_2024,equity_2024,deuda_2024,ROA_2024,ROE_2024,margen_beneficio_2024,deuda_equity_2024,id_empresa,nombre,ticker_wiki,pais,sector_icb,supersector,nota
STLA,,22730948608.0,USD,Consumer Cyclical,Auto Manufacturers,Netherlands,AR0940941575,179592000000.0,27490000000.0,16799000000.0,186156000000.0,71999000000.0,27153000000.0,0.0902415178667354,0.2333226850372921,0.0935398013274533,0.3771302379199711,189544000000.0,31297000000.0,18596000000.0,202128000000.0,81693000000.0,29463000000.0,0.0920011082086598,0.2276327225098845,0.0981091461613134,0.3606551356909405,156878000000.0,12781000000.0,5473000000.0,207607000000.0,81692000000.0,37227000000.0,0.0263623095560361,0.066995544239338,0.034886982240977,0.455699456495128,E001,Stellantis,STLAM,Netherlands,Automobiles and Parts,Consumer Discretionary,
MBG.DE,,48680239104.0,EUR,Consumer Cyclical,Auto Manufacturers,Germany,,150017000000.0,27252000000.0,14501000000.0,260015000000.0,85415000000.0,84414000000.0,0.0557698594311866,0.1697711174852192,0.0966623782637967,0.9882807469414038,152390000000.0,27438000000.0,14261000000.0,263022000000.0,91773000000.0,87964000000.0,0.0542197991042574,0.1553942880803722,0.0935822560535468,0.9584954180423436,145594000000.0,21505000000.0,10207000000.0,265010000000.0,92625000000.0,93042000000.0,0.0385155277159352,0.1101970310391363,0.0701059109578691,1.004502024291498,E002,Mercedes-Benz Group,MBG,Germany,Automobiles and Parts,Consumer Discretionary,
CON.DE,,13736411136.0,EUR,Consumer Cyclical,Auto Parts,Germany,,39408900000.0,4006500000.0,66600000.0,37926700000.0,13259200000.0,7674100000.0,0.0017560188468809,0.0050229274767708,0.0016899735846471,0.5787754917340413,41421000000.0,4207000000.0,1156000000.0,37753000000.0,13676000000.0,7162000000.0,0.0306200831721982,0.0845276396607195,0.0279085488037468,0.5236911377595789,20077000000.0,3231000000.0,1168000000.0,36966000000.0,14351000000.0,6879000000.0,0.0315966022831791,0.0813880565814229,0.0581760223140907,0.4793394188558288,E003,Continental,CON,Germany,Automobiles and Parts,Consumer Discretionary,
FR.PA,,3053803264.0,EUR,Consumer Cyclical,Auto Parts,France,NET000KLEON1,20037000000.0,2494000000.0,230000000.0,22029000000.0,3822000000.0,7342000000.0,0.0104407826047482,0.0601779173207744,0.0114787642860707,1.9209837781266352,22044000000.0,2659000000.0,221000000.0,21756000000.0,3575000000.0,7071000000.0,0.0101581173009744,0.0618181818181818,0.0100254037379785,1.9779020979020976,21492000000.0,2716000000.0,162000000.0,21658000000.0,3719000000.0,7037000000.0,0.0074799150429402,0.0435600968002151,0.007537688442211,1.8921753159451469,E004,Valeo,FR,France,Automobiles and Parts,Consumer Discretionary,
CABK.MC,,80875036672.0,EUR,Financial Services,Banks - Regional,Spain,,12439000000.0,,3129000000.0,598850000000.0,33675000000.0,50090000000.0,0.0052250146113383,0.0929175946547884,0.2515475520540236,1.4874536005939123,15874000000.0,,4816000000.0,607167000000.0,36307000000.0,54576000000.0,0.0079319198836563,0.1326465970749442,0.303389189870228,1.5031812047263613,16951000000.0,,5787000000.0,631003000000.0,36831000000.0,54419000000.0,0.009171113291062,0.1571230756699519,0.3413957878591233,1.4775325133718875,E005,CaixaBank,CABK,Spain,Banks,Financials,
HSBA.L,,238565818368.0,GBp,Financial Services,Banks - Diversified,United Kingdom,,53719000000.0,,15559000000.0,2949286000000.0,177833000000.0,204239000000.0,0.0052755141413887,0.0874921977360782,0.289636813790279,1.148487626031164,64528000000.0,,23533000000.0,3038677000000.0,185329000000.0,235159000000.0,0.0077444888021991,0.1269795876522292,0.3646943962310934,1.2688731930782555,67396000000.0,,23979000000.0,3017048000000.0,184973000000.0,242347000000.0,0.0079478351023914,0.1296351359387586,0.3557926286426494,1.3101749985132964,E006,HSBC,HSBA,United Kingdom,Banks,Financials,
SEB-A.ST,,364602458112.0,SEK,Financial Services,Banks - Regional,Sweden,,64466000000.0,,26877000000.0,3532779000000.0,204141000000.0,830984000000.0,0.0076078916909322,0.1316590003967845,0.416917444854652,4.070637451565339,79960000000.0,,38116000000.0,3608218000000.0,221775000000.0,904977000000.0,0.0105636632819857,0.171867884116785,0.476688344172086,4.080608725059181,81611000000.0,,35865000000.0,3758358000000.0,231148000000.0,953911000000.0,0.0095427311607888,0.1551603301780677,0.4394628175123451,4.126840811947324,E007,Skandinaviska Enskilda Banken,SEB,Sweden,Banks,Financials,
RBI.VI,,15628869632.0,EUR,Financial Services,Banks - Regional,Austria,,9608000000.0,,3627000000.0,207057000000.0,17638000000.0,15399000000.0,0.0175169156319274,0.2056355595872548,0.3774979184013322,0.8730581698605284,8821000000.0,,2386000000.0,198241000000.0,18620000000.0,18818000000.0,0.0120358553477837,0.128141783029001,0.2704908740505611,1.0106337271750805,8886000000.0,,1157000000.0,199851000000.0,19081000000.0,22068000000.0,0.0057893130382134,0.0606362349981657,0.1302048165653837,1.1565431581154026,E008,Raiffeisen Bank International,RBI,Austria,Banks,Financials,
UPM.HE,,13230560256.0,EUR,Basic Materials,Paper & Paper Products,Finland,,11720000000.0,2529000000.0,1526000000.0,22207000000.0,12502000000.0,4874000000.0,0.0687170711937677,0.122060470324748,0.1302047781569965,0.3898576227803551,10460000000.0,1211000000.0,388000000.0,18473000000.0,11161000000.0,3256000000.0,0.0210036269149569,0.0347639100439028,0.0370936902485659,0.2917301317086282,10339000000.0,1750000000.0,436000000.0,19096000000.0,11139000000.0,3814000000.0,0.0228320067029744,0.0391417541969656,0.0421704226714382,0.3424005745578597,E009,UPM-Kymmene,UPM,Finland,Basic Resources,Basic Materials,
BOL.ST,,159526174720.0,SEK,Basic Materials,Other Industrial Metals & Mining,Sweden,,86437000000.0,21748000000.0,12410000000.0,96376000000.0,58311000000.0,11192000000.0,0.1287664978832904,0.2128243384610108,0.1435727755475085,0.1919363413421138,78554000000.0,14680000000.0,6073000000.0,101957000000.0,56404000000.0,14582000000.0,0.0595643261374893,0.1076696688178143,0.0773098760088601,0.2585277639883696,89207000000.0,20581000000.0,10022000000.0,116192000000.0,64992000000.0,16507000000.0,0.0862537868355824,0.1542035942885278,0.112345443743204,0.2539851058591826,E010,Boliden AB,BOL,Sweden,Basic Resources,Basic Materials,
