id,empresa,año,confianza,E1,E2,E3,E4,E5,S1,S2,S3,S4,G1,ESRS2
E001_STLAM_2022,Stellantis,2022,alta,0.381,0.3,0.3793,0.1714,0.4483,0.5227,0.3333,0.12,0.3846,0.3429,0.2727
E001_STLAM_2023,Stellantis,2023,alta,0.381,0.3,0.4138,0.2,0.4828,0.5227,0.3333,0.12,0.3462,0.3714,0.2727
E001_STLAM_2024,Stellantis,2024,alta,0.6429,0.5,0.6207,0.3143,0.6207,0.8409,0.6333,0.52,0.5385,0.7143,0.5455
E002_MBG_2022,Mercedes-Benz Group,2022,alta,0.3333,0.2,0.1379,0.1429,0.2759,0.5227,0.4,0.12,0.3462,0.6,0.3636
E002_MBG_2023,Mercedes-Benz Group,2023,alta,0.4286,0.1667,0.2069,0.1429,0.4138,0.5455,0.3,0.12,0.3462,0.6,0.3939
E002_MBG_2024,Mercedes-Benz Group,2024,alta,0.7619,0.5,0.5172,0.5714,0.6207,0.6364,0.4667,0.44,0.3462,0.6571,0.5758
E003_CON_2022,Continental,2022,alta,0.4286,0.0333,0.069,0.2,0.3448,0.2727,0.2,0.12,0.1538,0.2571,0.1818
E003_CON_2023,Continental,2023,alta,0.381,0.1,0.1034,0.2286,0.3103,0.3636,0.2667,0.08,0.2692,0.4571,0.2727
E003_CON_2024,Continental,2024,alta,0.6429,0.4,0.2414,0.3714,0.5517,0.7045,0.3667,0.32,0.3846,0.5714,0.5758
E004_FR_2022,Valeo,2022,alta,0.5952,0.4667,0.5172,0.2571,0.5862,0.7273,0.4333,0.32,0.3077,0.5714,0.3636
E004_FR_2023,Valeo,2023,alta,0.5952,0.5333,0.5172,0.2571,0.5517,0.75,0.4333,0.28,0.3077,0.5714,0.4545
E004_FR_2024,Valeo,2024,alta,0.7143,0.5333,0.7586,0.5143,0.6897,0.8636,0.6667,0.36,0.4231,0.5714,0.6061
E005_CABK_2022,CaixaBank,2022,densidad,0.4524,0.1,0.069,0.0857,0.2069,0.5,0.2333,0.2,0.2692,0.3429,0.3939
E005_CABK_2023,CaixaBank,2023,media,0.0238,0.0333,0.0345,0.0857,0.0345,0.0455,0.0,0.0,0.0,0.1143,0.1818
E005_CABK_2024,CaixaBank,2024,alta,0.8571,0.1,0.1724,0.3143,0.3103,0.8182,0.4667,0.36,0.6538,0.6857,0.7273
E006_HSBA_2022,HSBC,2022,alta,0.7143,0.0667,0.1379,0.3714,0.1379,0.6591,0.3333,0.32,0.3846,0.4857,0.4545
E006_HSBA_2023,HSBC,2023,densidad,0.6905,0.0333,0.1724,0.3714,0.2069,0.3409,0.2333,0.12,0.1154,0.1714,0.4242
E006_HSBA_2024,HSBC,2024,alta,0.619,0.1,0.1034,0.3429,0.2069,0.6364,0.3667,0.32,0.3846,0.4286,0.4242
E007_SEB_2022,Skandinaviska Enskilda Banken,2022,alta,0.7619,0.0667,0.2069,0.1714,0.1724,0.3409,0.2667,0.12,0.1923,0.3429,0.4848
E007_SEB_2023,Skandinaviska Enskilda Banken,2023,densidad,0.7143,0.0667,0.3103,0.2286,0.3448,0.5682,0.2333,0.2,0.3077,0.4571,0.5455
E007_SEB_2024,Skandinaviska Enskilda Banken,2024,densidad,0.7857,0.0667,0.1034,0.2,0.3103,0.6364,0.3333,0.16,0.4231,0.4286,0.7273
E008_RBI_2022,Raiffeisen Bank International,2022,densidad,0.0238,0.0,0.0,0.0,0.0345,0.0455,0.0667,0.0,0.0769,0.0571,0.0909
E008_RBI_2023,Raiffeisen Bank International,2023,densidad_baja,0.1429,0.0,0.0,0.0286,0.0345,0.0682,0.0333,0.0,0.0385,0.0571,0.1212
E008_RBI_2024,Raiffeisen Bank International,2024,alta,0.619,0.1333,0.1034,0.1714,0.2069,0.5455,0.3333,0.2,0.4615,0.6286,0.6364
E009_UPM_2022,UPM-Kymmene,2022,densidad,0.5476,0.2667,0.4138,0.4,0.5862,0.5909,0.3667,0.32,0.2308,0.4286,0.303
E009_UPM_2023,UPM-Kymmene,2023,densidad,0.619,0.3667,0.5172,0.5429,0.5862,0.5455,0.4,0.4,0.3077,0.5143,0.4545
E009_UPM_2024,UPM-Kymmene,2024,densidad,0.8095,0.5667,0.8276,0.6,0.6897,0.75,0.5333,0.52,0.3462,0.5429,0.697
E010_BOL_2022,Boliden AB,2022,alta,0.381,0.0667,0.069,0.2,0.2759,0.3409,0.1333,0.2,0.1923,0.3429,0.1818
E010_BOL_2023,Boliden AB,2023,densidad,0.381,0.1333,0.1034,0.1429,0.3448,0.4318,0.1,0.28,0.1154,0.2,0.3636
E010_BOL_2024,Boliden AB,2024,densidad,0.7619,0.4333,0.6552,0.5143,0.5517,0.75,0.4667,0.4,0.4231,0.6571,0.697
E011_ACX_2022,Acerinox,2022,densidad,0.4524,0.2,0.4483,0.1143,0.3103,0.1818,0.0667,0.04,0.0385,0.0571,0.1818
E011_ACX_2023,Acerinox,2023,aceptado_sin_financieros,0.5238,0.2333,0.3793,0.0571,0.2759,0.5,0.1667,0.2,0.0769,0.2286,0.2727
E011_ACX_2024,Acerinox,2024,alta,0.7381,0.2,0.4138,0.2286,0.2759,0.25,0.1333,0.24,0.1154,0.3429,0.5758
E012_VOE_2022,Voestalpine,2022,densidad,0.3095,0.0333,0.0345,0.0286,0.2414,0.0227,0.0333,0.0,0.0385,0.0286,0.1212
E012_VOE_2023,Voestalpine,2023,densidad,0.3571,0.0,0.0345,0.0,0.3793,0.0227,0.0667,0.0,0.0385,0.0857,0.1515
E012_VOE_2024,Voestalpine,2024,densidad,0.6667,0.4333,0.6207,0.3714,0.5517,0.6136,0.3667,0.28,0.1923,0.3714,0.6364
E013_1COV_2022,Covestro,2022,alta,0.5714,0.4333,0.4483,0.1429,0.6207,0.6136,0.4333,0.28,0.4615,0.5714,0.5152
E013_1COV_2023,Covestro,2023,alta,0.5476,0.4667,0.5517,0.1714,0.5517,0.6591,0.4667,0.28,0.4615,0.5143,0.5758
E013_1COV_2024,Covestro,2024,alta,0.619,0.5333,0.5517,0.3714,0.5862,0.7273,0.5333,0.16,0.3462,0.4,0.5455
E014_SY1_2022,Symrise,2022,densidad,0.0238,0.0333,0.0345,0.0,0.0345,0.3182,0.0333,0.0,0.0385,0.0,0.0303
E014_SY1_2023,Symrise,2023,densidad,0.2857,0.0333,0.2069,0.1429,0.2414,0.2727,0.1667,0.12,0.1154,0.1143,0.3333
E014_SY1_2024,Symrise,2024,densidad,0.7619,0.2333,0.6897,0.6286,0.6207,0.8182,0.4,0.52,0.1923,0.4857,0.6061
E015_YAR_2022,Yara International,2022,alta,0.4286,0.1333,0.1724,0.2286,0.2414,0.2955,0.1333,0.12,0.1154,0.0571,0.3636
E015_YAR_2023,Yara International,2023,alta,0.8095,0.4,0.6552,0.5143,0.5517,0.8636,0.5333,0.44,0.4615,0.5714,0.6364
E015_YAR_2024,Yara International,2024,alta,0.8333,0.5333,0.6897,0.4857,0.5517,0.8409,0.6,0.48,0.4231,0.6,0.6667
E016_BBY_2022,Balfour Beatty,2022,alta,0.5714,0.0667,0.1379,0.1143,0.1724,0.5682,0.3333,0.2,0.1923,0.2571,0.3636
E016_BBY_2023,Balfour Beatty,2023,alta,0.619,0.1333,0.1724,0.1429,0.3793,0.4773,0.3,0.2,0.1538,0.2571,0.4545
E016_BBY_2024,Balfour Beatty,2024,alta,0.6667,0.1,0.0345,0.2,0.3793,0.4545,0.3667,0.2,0.1923,0.2857,0.3939
E017_SKA B_2022,Skanska,2022,densidad,0.7619,0.1,0.1724,0.1429,0.3103,0.5682,0.3333,0.24,0.1538,0.4286,0.4848
