term,tfidf_mean
report,0.11198201553042393
annual,0.1020677855272372
financial,0.059811171328242436
statement,0.05453501226209689
group,0.03294129749289577
universal,0.030171467945893975
sustainability,0.028621600685160162
document,0.027356369834697067
registration,0.027027108576516766
consolidated,0.026272313816070734
management,0.023427653681733895
year,0.02140211445193312
information,0.021284949671721804
content,0.019531964505773717
board,0.01760297575619267
company,0.017069593730130003
letter,0.015757340131238123
corporate,0.0151772613552223
continue,0.014653161738553222
december,0.014608029919285651
