term,tfidf_mean
sustainability,0.09348171859270255
report,0.07516671526112409
statement,0.04248230663217653
financial,0.04111882809153277
annual,0.03552440679235378
information,0.03437995743875404
non,0.03232078353292727
governance,0.027513905402542754
group,0.02535757216302622
general,0.02404216989179745
corporate,0.021156041108455738
sustainable,0.021018756221914518
risk,0.02004045664716405
activity,0.019328269795525373
social,0.018280547258710464
approach,0.017344715342413188
esg,0.017215696874313936
year,0.016938128126631424
section,0.01630404495352992
business,0.016257192119175725
