Topic,Count,Name,Representation,Representative_Docs
-1,98721,-1_emissions_scope_risk_financial,"['emissions', 'scope', 'risk', 'financial', 'energy', 'risks', 'management', 'data', 'impact', 'climate', 'value', 'sustainability', 'activities', 'reporting', 'chain']","['Policies related to value chain workers ESRS S2-1 In line with the Group’s Human Rights Policy, in addition to ensuring the necessary quality standards, Enel partners are required to commit to best practices on human rights, including working conditions, occupational health and safety, environmental responsibility, and respect for privacy by design and by default. These principles are also an integral part of development and awareness programs: each person must feel that they are responsible for their own health and safety as well as for the health and safety of others. In terms of specific actions, Enel ensures that its procurement processes are based on criteria that promote sustainable development and social stability, as well as the principles of free competition, equal treatment, non-discrimination, transparency and rotation over and above compliance with local legislation. 100% of the purchased product categories are preliminarily assessed in terms of risk, based on human, environmental, social and economic rights criteria. Furthermore, Enel supports its partners to increase their resilience, promoting practices to support a just transition. More details about the contents of the Human Rights Policy can be found in the section “Managing human rights”, along with measures to remedy any human rights impacts.', '• Climate-related transition risks: identified climate-related transition associated with new legislation and the need to adjust operations to a\xa0lower-carbon and resilient economy. In 2021, Stora Enso assessed a\xa0business impact scenario for 2030, based on the global transition required to limit the global average temperature increase to 1.5 degrees Celcius, in line with the Paris agreement of 1.5 degrees (RCP 1.9). The assessment concluded that the transition to a low-carbon, circular bioeconomy is well aligned with Stora Enso’s strategy. The scenario work also indicated that potential new regulations and market mechanisms, driven motivations to limit climate change and its effects on society and the environment could impact Stora Enso’s operating costs. These impacts could include limitations on wood harvesting volumes or forest management practices, as well as increases in greenhouse gas emission costs and energy prices. Sustainable product initiatives and requirements may also influence the Group’s future market access, product demand growth, and product development requirements. Due to Stora Enso’s location in Europe, the mandates and regulations on existing products and services are considered almost certain in the medium term, as the European Union is implementing EU Green Deal and related legislations. Recent legislation has focused specifically on emission reduction, deforestation, biodiversity and circular economy, all\xa0of which are central to Stora Enso’s strategy.', 'trading) 2.06 2.06 0.05 2.06 Mining and quarrying 0.43 0.12 0.37 0.43 Production of metals 0.59 0.59 0.39 0.25 Private lending Lombard 122.76 Private lending, credit cards, others9 2.90 Not classified Not classified Not classified Real estate Development and management 4.58 4.40 0.42 4.58 Commercial real estate 55.09 24.75 2.87 26.71 Residential real estate 176.70 Services and technology Services and technology 19.10 11.24 10.49 2.77 0.09 0.04 Transportation Air transport 1.72 1.72 1.58 1.72 Automotive 0.41 0.11 0.36 0.41 Rail freight 0.50 0.39 0.49 Road freight 0.51 0.51 0.43 0.51 Transit 0.59 0.54 0.23 Transportation parts and equipment supply 0.65 0.65 0.34 0.65 Water transport 0.64 0.64 0.64 0.64 Power generation 1.73 1.71 1.36 1.73 Waste treatment 0.27 0.27 0.05 0.02 Not classified9 0.12 Not classified Not classified Not classified Grand total 477.89 58.05 46.18 71.97 1 Methodologies for assessing climate- and nature-related risks are emerging and may change over time. As the methodologies, tools, and data availability improve, we will further develop our risk identification and measurement approaches. Lombard lending rating is assigned based on the average riskiness of loans. 2 Metrics are calculated and restated based on the 2023 methodology, across three years of reporting, 2021– 2023. 3 Total customer lending exposure consists of total loans and advances to customers and guarantees, as well as irrevocable loan commitments (within the scope of expected credit loss), and is based on consolidated and standalone IFRS Accounting Standards numbers. The credit exposure includes portfolio adjustment bookings, which are either directly impacting the metrics, and have been reflected in the heatmaps, or are impact assessed and immaterial to the metrics representation. 4 UBS continues to collaborate to resolve methodological and data challenges, and seeks to integrate both impacts to and dependency on a changing natural and climatic environment in how it evaluates risks and opportunities. 5 Climate- and nature-related risks are scored between 0 and 1, based on sustainability and climate risk transmission channels, as outlined in the Supplement to the UBS Group Sustainability Report 2023, available under “Annual reporting” at ubs.com/investors. Risk ratings represent a range of scores across five-rating categories: low, moderately low, moderate, moderately high, and high. The climate- or nature-sensitive exposure metrics are determined based upon the top three of the five rated categories: moderate to high. 6 As a material change in risk profile (discrete risk score, weighted average per sub-sector) is considered a >5% shift up, or down, year on year. Similarly, for absolute exposure. 7 Displayed ratings represent exposure-weighted averages for a given sector scope. 8 Nature-related risk metric methodology has been further strategically enhanced, as part of an ongoing collaboration between UBS and UNEP FI. 9 Not classified represents the portion of UBS’s business activities where methodologies and data are not yet able to provide a rating, e.g., private individuals.']"
0,3608,0_physical_climaterelated_climate_climaterelated risks,"['physical', 'climaterelated', 'climate', 'climaterelated risks', 'scenario', 'risks', 'climate risk', 'risk', 'climate risks', 'scenario analysis', 'scenarios', 'physical risks', 'extreme', 'analysis', 'weather']","['Physical opportunities and risks ESRS E1.IRO-1, ESRS E1.SBM-3 F Acute physical risks of climate change Evonik is potentially exposed to acute physical risks\u20093 in the form of extreme weather events due to climate change, e.g., hurricanes, floods, heatwaves, and extremely cold periods. Acute events could impact production, supply chains as well as our markets. In 2024, we analyzed water-related risks, such as water scarcity or flooding that might affect our production sites, and began assessing the physical risks to the supply chains of some sites.', 'Climate change adaptation Climate-related physical risk Exposure to acute and chronic physical climate risks like extreme weather events, droughts, changing climate (e.g. rain patterns), water availability, temperature, etc. which can result in lack of availability and increased cost of raw materials.', 'Scenario analysis In 2022, we analysed two low-emission scenarios and one highemission scenario to understand the physical and transition risks and opportunities of climate change. This year, to understand the physical risks and opportunities in greater depth, we have chosen 2.5°C and 4°C scenarios to model chronic and acute physical risks and opportunities. A separate 1.5°C scenario allows us to focus on the impact of transition risks and opportunities.']"
1,3129,1_board_director_directors_independent,"['board', 'director', 'directors', 'independent', 'supervisory', 'supervisory board', 'board directors', 'members', 'chair', 'member', 'executive', 'committee', 'nonexecutive', 'independent director', 'chairman']","['Name of the Director Position on the Board of Directors Type of Director Position on the Audit and Compliance Committee Position on the Sustainability and Appointments Committee Position on the Remuneration Committee Antonio Llardén Carratalá Chairman Other External Arturo Gonzalo Aizpiri Chief Executive Officer Executive Ana Palacio Vallelersundi Independent Leading Director Independent Chairwoman José Montilla Aguilera Director Independent Chairman María Teresa Arcos Sánchez Director Independent Chairwoman Santiago Ferrer Costa Director Proprietary Member SEPI - Sociedad Estatal de Participaciones Industriales (represented by Bartolomé Lora Toro) Director Proprietary Member José Blanco López Director Independent Member Natalia Fabra Portela Director Independent Member Cristóbal José Gallego Castillo Director Independent Member Clara Belén García Fernández Muro Director Independent Member Manuel Gabriel González Ramos Director Independent Member David Sandalow Director Independent Member Patricia Úrbez Sanz Director Independent Member María Teresa Costa Campi Director Other external Member Rafael Piqueras Bautista General Secretary Secretary Secretary Secretary The General Shareholders’ Meeting approved the 2021 accounts, the management report and all the items on the Agenda, as well as the re-election of Antonio Llardén as Chairman and the ratification of Arturo Gonzalo as Executive Director. During the event, Enagás highlighted security of supply in Spain and Europe and decarbonisation as strategic priorities.', ""òp ¢Ÿ òp ò¢p òŸp ¢¢Ÿ òp ò¢p 4. Board of directors A balanced and diverse board → 15 directors: 13 non-executive and 2 executive → Majority of independent directors (66.67%) → Balanced presence of women and men (40%-60%) Effective corporate governance → Specialized committees advising the board → The responsible banking, sustainability and culture committee shows the board's commitment to these areas → Complementary functions and effective controls: Executive Chair, CEO and Lead Independent Director 3 Héctor Grisi CEO Executive director 11 Gina Díez Barroso Member Non-executive director (independent) 4 Ana Botín Executive Chair Executive director òCpC 12 Bruce CarnegieBrown Member Non-executive director (independent) ¢C• 5 Glenn Hutchins Vice Chair and Lead Independent Director Non-executive director (independent) ¢¢C• 13 José Antonio Álvarez Vice Chair Non-executive director 6 Ramiro Mato Member Non-executive director (independent) òòpŸC 14 Luis Isasi Member Non-executive director 7 Belén Romana Member Non-executive director (independent) òò¢pCŸ• 15 Homaira Akbari Member Non-executive director (independent) 8 Sol Daurella Member Non-executive director (independent) 16 Jaime Pérez Renovales General Counsel and secretary of the board 1 Germán de la Fuente Member Non-executive director (independent) 9 Javier Botín Member Non-executive director 2 Pamela Walkden Member Non-executive director (independent) òC• 10 Henrique de Castro Member Non-executive director (independent) • Executive committee • Audit committee • Nomination committee • Remuneration committee • Risk supervision, regulation and compliance committee • Responsible banking, sustainability and culture committee • Innovation and technology committee C Chair of the committee"", 'Board of Directors Strategic and Investment Committee Audit and Risk Committee Governance, Appointment and Committee Compliance and Ethics Committee Number of meetings Mr.\xa0Jérôme Brunel Chairman of the Board of Directors Mr.\xa0Beñat Ortega Chief Executive Officer, Director _ _ _ _ _ Ms.\xa0Laurence Danon Arnaud Independent Director Ms.\xa0Dominique Dudan Independent Director Ms.\xa0Gabrielle Gauthey Independent Director 80% Mr.\xa0Claude Gendron Director Ivanhoé Cambridge Inc. (represented by\xa0Mr.\xa0Karim Habra), Director 80% Predica (represented by Matthieu Lance), Director Ms.\xa0Carole Le\xa0Gall Independent Director Ms.\xa0Inès Reinmann Toper Independent Director Mr.\xa0Jacques Stern Independent Director AVERAGE ATTENDANCE RATE 95% 97% 4.1.4 Conditions for the preparation and\xa0organization of\xa0the\xa0Board\xa0of Directors’ work 4.1.4.1 Operation of the Board of\xa0Directors The organization and operation of the Board of Directors are governed by the law, the Company’s bylaws and the internal regulations of the Board of Directors.']"
2,3003,2_suppliers_supplier_procurement_ecovadis,"['suppliers', 'supplier', 'procurement', 'ecovadis', 'audits', 'supply chain', 'supply', 'purchasing', 'tfs', 'supplier code', 'chain', 'code', 'sustainable procurement', 'code conduct', 'spend']","['Tracking metrics and progress GRI Standard Total number of suppliers 308-2, 414-2 14% 15,998 14,045 13,272 22,947 27,033 Suppliers screened 14% 15,998 14,045 13,272 22,947 18,369 Suppliers with additional compliance assessments (28%) 1,510 1,818 2,912 Critical suppliers under regular risk monitoring (41%) Independent CRS audits 19% Total number of EcoVadis’ scorecards 12% nr Issued Supplier Code of Conduct All suppliers screened for sustainability risks Embedding sustainability into\xa0category planning Net Zero Scope 3 EcoVadis partnership and supplier sustainability clause Activities in 2023 The SCoC continues to be shared with new suppliers as part of the onboarding process. New suppliers are requested to\xa0acknowledge their commitment to\xa0achieving net zero emissions by 2050, and the need for a roadmap, supported by deliverable plans, to achieve this target.', 'Worldwide Supplier Evaluations through the TfS Initiative* In the year 2022, the now 40 members of TfS evaluated the sustainability performance of a total of 8,386 suppliers through online assessments and performed 378 on-site supplier audits.', '[ Worldwide Supplier Evaluations through the TfS Initiative* In the year 2023, the now 50 members of TfS evaluated the sustainability performance of a total of 11,421 suppliers through online assessments and performed 492 on-site supplier audits.']"
3,2964,3_water_water consumption_withdrawal_wastewater,"['water', 'water consumption', 'withdrawal', 'wastewater', 'water stress', 'stress', 'water withdrawal', 'water risk', 'consumption', 'water management', 'discharge', 'freshwater', 'water use', 'sites', 'withdrawals']","['Total water withdrawal and consumed calculation worldwide and in water-stressed areas (million m3) Worldwide of which in water-stressed areas Total water withdrawal 22.0 6.0 Total water consumed 7.7 2.5 Water Discharges Effective water discharge management is integral to our overall sustainability strategy. Water discharges can fluctuate due to factors such as rainwater, consumption or evaporation in processes that expose water to atmosphere, like cooling towers. Some of our older plants lack separate sewer systems for rainwater and process or sanitary wastewater, meaning all discharge flows through the same treatment facilities. In these cases, the municipal or Stellantis wastewater treatment plant treats all water discharge volumes. To our knowledge, the wastewater discharge into the groundwater was negligible and Stellantis did not directly discharge any wastewater into seawater or oceans.', 'Water withdrawal, discharge, and consumption Total for Yara’s production sites Unit Total water withdrawal 869,534,562 884,649,646 860,189,887 966,181,898 1,011,731,164 Fresh surface water % 40% 39% 41% 40% 39% Brackish surface water/seawater % 55% 59% 57% 58% 59% Groundwater % 1% 1% 2% 1% 1% Produced water\u200c\u20061) % <1% <1% <1% <1% <1% Third-party % 4% 1% 1% 1% 1% Total water discharge 835,295,685 854,508,996 827,344,280 901,435,619 980,082,725 Fresh surface water % 13% 13% 15% 15% 17% Brackish surface water/seawater % 83% 87% 85% 84% 82% Groundwater % <1% <1% <1% <1% 1% Third-party % 3% <1% <1% <1% <1% Total water consumption 34,238,877 30,140,650 32,845,607 64,746,278\u200c\u20062) 31,648,438 Discharge as a percentage of withdrawal 96% 97% 96% 93% 97% Consumption as a percentage of withdrawal 4% 3% 4% 7% 3% Total freshwater withdrawal from high or extermely high baseline stress areas 22,709,176 21,324,877\u200c\u20063) 14,143,972\u200c\u20064) 14,654,269 17,193,253 Percentage of total water withdrawal % 3% 2% 2% 2% 2% Total water consumption in high or extremely high baseline stress areas 12,687,991 11,677,071 8,095,619 8,764,607 9,710,212 Percentage of total water consumption % 37% 39% 25% 14% 31% Water recycled\u200c\u20065) 16,945,470 15,601,412 16,300,712 54,024,821 – Water stored onsite 23,637,160 – – – – Water Intensity (total water consumption per revenue in USD)\u200c\u20066) m3/ USD millions 2,469 – – – – Water Intensity (total water consumption per revenue in EUR)\u200c\u20067) m3/ EUR millions 2,673 – – – – Raw water including third-party water withdrawals are validated through the invoices acquired through local authorities. Other water withdrawal measurements are based on flow meters which are not validated by an external body. Discharges are predominantly based on monitoring conducted as part of regulatory requirements and used by local authorities for compliance assessments, otherwise discharge measurements are not validated by an external body. The data is for sites where Yara has operational control. Where Yara does not have control of operational policies, we include the share according to the interest held. In 2024 two sites were included, where Yara does not have control of operational policies.', 'Guidelines and preventive measures We are committed to efficient water use, water resource conservation, and appropriate wastewater treatment. We collect water-related data at our production sites annually, such as on water consumption and wastewater volumes. We withdraw water mainly from the public drinking-water supply and from groundwater. Water is reused several times in our cooling cycles. Most of the water used is discharged as wastewater into the sewage system or as surface water.']"
4,2291,4_biodiversity_ecosystems_species_biodiversity ecosystems,"['biodiversity', 'ecosystems', 'species', 'biodiversity ecosystems', 'nature', 'protected', 'ecosystem', 'areas', 'dependencies', 'conservation', 'protected areas', 'habitats', 'ecosystem services', 'sites', 'biodiversity loss']","['Biodiversity 147;149 GRI 304: Biodiversity 304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas Biodiversity', '• Biodiversity (E4) has been evaluated as not relevant since Ferrari sites are not located in or near biodiversity-sensitive areas according to Directive 2009/147/EC of the European Parliament and of the Council on the conservation of wild birds, to Council Directive 92/43/EEC on the conservation of natural habitats and of wild fauna and flora, and Italian list of recognized Protected Areas state by the Italian law. For this reason, Ferrari has not identified and assessed actual or potential impacts, dependencies, risks, or opportunities related to biodiversity and ecosystems across its own site locations or its upstream and downstream value chain. Similarly, the Company has not identified or assessed its dependencies on biodiversity and ecosystem services, including any potential disruptions,', 'Biodiversity Biodiversity: Business impacts on biodiversity of ecosystems on land and in water. This includes, but not limited to, impact on red-list species, biodiversity loss or change in distribution (reproduction or immigration) of local species, critical habitats, and protected areas.']"
5,2012,5_women_female_gender_positions,"['women', 'female', 'gender', 'positions', 'diversity', 'gender diversity', 'senior', 'equality', 'leadership', 'gender equality', 'representation', 'proportion women', 'management positions', 'men', 'male']","['Action plans 1. Promoting diversity and gender equality 1.1. HELPING WOMEN TAKE UP LEADERSHIP POSITIONS The Group employs 184,817\xa0women, representing 55.2% of the total workforce. Carrefour is actively supporting and training both women employees and women managers through dedicated leadership programmes. The goal is to increase the percentage of women among Executive Directors from 22% in 2020 to 35% by 2025. The Group develops individual coaching and mentoring programmes designed for women so as to increase the number of high‑potential female employees, including:', ""Proportion of women on the Group's Board of Directors 50 % 40 % Proportion of women in Executive Group Management 50 % 50 % Proportion of women at management level 39 % 42 % Proportion of women at management level 1-4 37 % 37 % Proportion of female managers, regardless of level 71) 37 % 38 % Gender distribution at top management level 72)"", 'Balanced representation among employees Over the past five years, the percentage of women in permanent positions at Yara has steadily increased. At the end of 2023, 26.9 percent of Yara employees were women (+ 0.7pp from 2022), 28.1 percent of line managers were women (699 of 2486), and 31.7 percent of senior management positions were held by women (91 of 287, +2.8pp from 2022). To improve the representation of women across all levels we closely monitor representation and retention rates, and implement and continue initiatives to make Yara more attractive to women. Examples of initiatives are the Women in Agronomy men\xad toring program, our Gender Equity employee resource group, the annual gender pay gap analysis and the Women in Maintenance program.']"
6,1795,6_fresenius_patients_patient_medical,"['fresenius', 'patients', 'patient', 'medical', 'helios', 'healthcare', 'care', 'kabi', 'fresenius kabi', 'clinical', 'hospitals', 'dialysis', 'medical care', 'hospital', 'fresenius medical']","['AVERAGE LENGTH OF SERVICE in years Fresenius Medical Care 7.9 7.6 7.3 6.8 7.1 Fresenius Kabi 7.9 7.9 7.9 8.6 7.5 Fresenius Helios\u20091 9.2 9.3 9.4 9.9 9.9 Fresenius Vamed 8.5 7.8 7.7 6.9 7.8 Corporate\u2009/\u2009Other 7.8 7.8 7.5 7.3 7.3 Total 8.4 8.3 8.2 8.1 8.2 in % Fresenius Medical Care 19.9 16.5 11.9 14.3 13.2 Fresenius Kabi 11.4 11.3 7.1 9.2 9.4 Fresenius Helios\u20091 11.1 10.1 9.0 8.6 5.8 Fresenius Vamed 10.7 9.3 7.8 7.6 9.5 Corporate\u2009/\u2009Other 14.2 3.5 1.7 3.5 3.8 Total 14.7 12.8 9.8 11.0 9.8 VOLUNTARY TURNOVER\u2009\u20093 1 The data from Fresenius Helios includes all employees from its divisions, expect for the fertility services division, which only covers the Spanish entities in 2022.', 'Fresenius Medical Care 44.1 42.1 41.7 40.8 40.8 Fresenius Kabi 39.5 39.2 39.9 38.7 38.4 Fresenius Helios\u20091 41.6 41.5 41.6 42.0 41.7 Fresenius Vamed 44.1 44.3 44.0 41.2 43.6 Corporate\u2009/\u2009Other 38.9 39.7 39.3 39.1 38.9 Total 42.5 41.6 41.7 41.0 41.0 AVERAGE AGE Dec. 31 Below 30 Between 30 und 50 Above 50 Below 30 Between 30 and 50 Above 50 Below 30 Between 30 and 50 Above 50 Below 30 Between 30 and 50 Above 50 Below 30 Between 30 and 50 Above 50 Fresenius Medical Care 15% 55% 30% 16% 58% 26% 17% 58% 25% 18% 56% 26% 16% 57% 27% Fresenius Kabi 22% 59% 19% 21% 60% 19% 22% 61% 17% 23% 60% 17% 23% 60% 17% Fresenius Helios\u20091 20% 52% 28% 20% 52% 28% 20% 51% 29% 18% 53% 29% 19% 53% 28% Fresenius Vamed 16% 47% 37% 16% 47% 37% 15% 49% 36% 16% 50% 34% 15% 50% 35% Corporate\u2009/\u2009Other 28% 48% 24% 25% 51% 24% 25% 53% 22% 24% 54% 22% 25% 54% 21% Total 18% 54% 28% 19% 55% 26% 19% 55% 26% 19% 55% 26% 18% 55% 27% AGE STRUCTURE 1 The data from Fresenius Helios includes all employees from its divisions, expect for the fertility services division, which only covers the Spanish entities in 2022.', 'NEW HIRES\u20092 in % Fresenius Medical Care 26.0 23.7 23.1 24.7 21.7 Fresenius Kabi 16.9 17.1 13.5 17.1 16.9 Fresenius Helios\u20091 20.0 22.9 18.0 16.9 19.9 Fresenius Vamed 23.6 18.4 18.4 17.8 22.5 Corporate\u2009/\u2009Other 14.5 11.0 6.1 11.2 12.5 Strategy and management | Well-being of the patient | Digital transformation and innovation | Cybersecurity Employees | Occupational health and safety Diversity and equal opportunities | Compliance and integrity | Environment | Further key figures | Report profile | Limited assurance report of the independent auditor']"
7,1770,7_aena_airport_airports_aenas,"['aena', 'airport', 'airports', 'aenas', 'londonluton', 'londonluton airport', 'brazil', 'spain', 'united kingdom', 'kingdom', 'aena spain', 'commitment', 'luton', 'consolidated management', 'aena airports']","['Activities of the Aena Group The main activity of the Aena Group is airport management, structuring its operations in the following segments:', 'The Aena Group and its value chain The value chain of the Aena Group, as a leading airport manager, is composed of actors that enable high-quality airport services.', 'Aena has 9 Spanish airports accredited in the programme that account for about 91% of the network’s emissions in Spain (as of 2020). In addition, London-Luton Airport is also accredited in the UK. Aena’s goal is to reach level 4+ in 2026 at Adolfo Suárez Madrid-Barajas Airport and Barcelona-El Prat Josep Tarradellas Airport and level 3+ neutrality at major airports.']"
8,1597,8_learning_talent_skills_leadership,"['learning', 'talent', 'skills', 'leadership', 'development', 'career', 'training', 'leaders', 'succession', 'courses', 'talent management', 'employees', 'digital', 'managers', 'people']","['We have continuously introduced new digital learning content and online programmes. They encourage individuals to strengthen their self-leadership and resilience and support leaders in enabling their teams to perform and grow. Employees can share digital learning content flexibly on our learning platform. We offer e-learning content to develop skills in areas in commerce, finance, compliance, safety and leadership, for example.', '– increased the number of active users and participation in learning programmes via our learning experience Degreed. This aims to address skills gaps through internal and external learning content and courses, enabling colleagues to share, collaborate and learn individually or in groups through structured learning pathways; – unlocked over 250,000 hours of skills development through our Talent Marketplace. To date more than 46,000 colleagues have created a profile helping them match their interest in developing specific skills or career goals with on-thejob projects and networking; – accelerated the use of digital badging to acknowledge skill-building achievements.', 'Talent attraction, retention and development Ericsson’s talent acquisition strategy is built on three key focus areas: demand planning and capacity; identifying key talent markets; and attracting and retaining talent with critical skills. The Company continues to prioritize the development of future critical skills connected to its strategy. By year end, over 50,000 people had been upskilled or reskilled across critical skill areas such as Cloud Native, Power Skills and AI, in which 300 experts in 2018 acted as a catalyst to upskilling more than 30,000 employees as of year-end 2023. Nearly all employees use Degreed as the main digital learning experience platform for skill-building and learning completions, with many designating their own focus skills aligned to their career ambitions. After a slight reduction last year, 2023 saw a 59% increase in learnings completed through Degreed, reaching over 4.8 (3.0) million, which is the highest level to date. Employees are also encouraged to gain experience through internal job moves. This is supported by an open talent market as well as targeted succession planning, with increasing emphasis on putting critical skills to work.']"
