topic,palabras,scores
0,"employees, training, employee, work, people, diversity, development, working, music, inclusion, gender, support, workforce, women, culture","0.0292, 0.0142, 0.0105, 0.0101, 0.0101, 0.0086, 0.0073, 0.0067, 0.0066, 0.0063, 0.0060, 0.0059, 0.0058, 0.0056, 0.0052"
1,"data, security, compliance, third, protection, regulations, legal, requirements, party, available, system, privacy, cases, parties, service","0.0414, 0.0136, 0.0128, 0.0109, 0.0102, 0.0099, 0.0079, 0.0077, 0.0069, 0.0069, 0.0068, 0.0066, 0.0065, 0.0060, 0.0057"
2,"water, biodiversity, environmental, impact, local, air, sites, resources, communities, areas, use, pollution, natural, land, ecosystems","0.0558, 0.0285, 0.0263, 0.0188, 0.0169, 0.0162, 0.0158, 0.0156, 0.0150, 0.0144, 0.0122, 0.0117, 0.0109, 0.0088, 0.0086"
3,"million, financial, assets, net, per, average, rate, consolidated, due, income, increase, compared, period, value, cash","0.0228, 0.0189, 0.0133, 0.0120, 0.0119, 0.0116, 0.0113, 0.0103, 0.0095, 0.0092, 0.0088, 0.0086, 0.0085, 0.0085, 0.0084"
4,"rights, human, safety, health, policy, suppliers, code, conduct, chain, principles, employees, social, corruption, workers, commitment","0.0409, 0.0384, 0.0316, 0.0209, 0.0196, 0.0188, 0.0178, 0.0176, 0.0161, 0.0122, 0.0117, 0.0112, 0.0109, 0.0108, 0.0099"
5,"reporting, sustainability, financial, esrs, gri, disclosure, requirements, disclosures, european, regulation, tax, assurance, standards, related, reference","0.0361, 0.0361, 0.0265, 0.0193, 0.0179, 0.0123, 0.0121, 0.0120, 0.0115, 0.0114, 0.0100, 0.0100, 0.0093, 0.0089, 0.0085"
6,"emissions, energy, scope, ghg, carbon, consumption, gas, renewable, reduction, electricity, targets, target, emission, zero, sources","0.0726, 0.0553, 0.0405, 0.0230, 0.0226, 0.0182, 0.0169, 0.0159, 0.0148, 0.0145, 0.0123, 0.0108, 0.0108, 0.0092, 0.0082"
7,"risk, climate, portfolio, axa, high, physical, exposure, scenario, insurance, assets, companies, analysis, low, real, investment","0.0467, 0.0272, 0.0238, 0.0202, 0.0192, 0.0191, 0.0178, 0.0170, 0.0147, 0.0135, 0.0128, 0.0125, 0.0123, 0.0114, 0.0105"
8,"board, executive, committee, directors, remuneration, management, members, meeting, governance, chief, officer, corporate, shareholders, supervisory, general","0.0735, 0.0390, 0.0374, 0.0366, 0.0256, 0.0186, 0.0163, 0.0144, 0.0130, 0.0124, 0.0123, 0.0120, 0.0120, 0.0119, 0.0118"
9,"risks, climate, impacts, related, opportunities, material, impact, risk, change, value, chain, term, assessment, materiality, potential","0.0474, 0.0375, 0.0318, 0.0259, 0.0245, 0.0242, 0.0240, 0.0206, 0.0170, 0.0154, 0.0154, 0.0143, 0.0119, 0.0115, 0.0112"
10,"sustainable, new, customers, development, solutions, services, industry, customer, innovation, global, products, digital, sustainability, future, strategy","0.0187, 0.0148, 0.0137, 0.0136, 0.0109, 0.0107, 0.0095, 0.0087, 0.0086, 0.0082, 0.0080, 0.0076, 0.0074, 0.0066, 0.0066"
11,"taxonomy, activities, eligible, aligned, activity, economic, climate, criteria, capex, turnover, change, proportion, opex, sustainable, buildings","0.0702, 0.0687, 0.0403, 0.0319, 0.0318, 0.0245, 0.0190, 0.0189, 0.0188, 0.0180, 0.0169, 0.0144, 0.0142, 0.0140, 0.0126"
12,"shares, capital, share, france, december, debt, contracts, forest, term, credit, period, funding, united, agreement, sheet","0.0202, 0.0181, 0.0171, 0.0151, 0.0107, 0.0094, 0.0086, 0.0084, 0.0084, 0.0079, 0.0078, 0.0075, 0.0072, 0.0070, 0.0068"
13,"waste, products, materials, production, use, raw, product, packaging, circular, sites, used, supply, suppliers, life, certified","0.0413, 0.0302, 0.0300, 0.0233, 0.0202, 0.0171, 0.0141, 0.0138, 0.0118, 0.0110, 0.0107, 0.0103, 0.0093, 0.0089, 0.0088"
14,"management, sustainability, risk, internal, process, esg, environmental, assessment, compliance, strategy, system, monitoring, performance, control, risks","0.0339, 0.0253, 0.0253, 0.0140, 0.0114, 0.0096, 0.0094, 0.0094, 0.0094, 0.0091, 0.0084, 0.0084, 0.0083, 0.0082, 0.0081"
