,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.4011085045834767,1.6997964459379549,-0.2359744341988804,0.8134525085700774,-3.7326483196710534,2.9304313105041
C(supersector)[T.Communication Services],0.15302072953687815,0.34087975525147385,0.4488994350045566,0.6535042036662644,-0.515091313814839,0.8211327728885953
C(supersector)[T.Consumer Discretionary],0.4685076806567235,0.29131877732740813,1.6082302862687625,0.10778475238850332,-0.10246663092524005,1.039481992238687
C(supersector)[T.Consumer Staples],0.5824985384794144,0.4234220687866642,1.3756924388674194,0.16891687384779608,-0.24739346660188888,1.4123905435607176
C(supersector)[T.Energy],0.4431499995832577,0.35037375407937243,1.2647922238001539,0.20594581967273673,-0.24356993954040612,1.1298699387069215
C(supersector)[T.Financials],2.0338530653359146,0.3452734658876404,5.890557098290823,3.848958511531269e-09,1.3571295073788203,2.710576623293009
C(supersector)[T.Health Care],0.5192231373985308,0.45138901400560694,1.1502786317083056,0.2500291289113008,-0.3654830730695049,1.4039293478665664
C(supersector)[T.Industrials],0.48900758792301335,0.39084115412337955,1.2511670860757025,0.21087352385121882,-0.27702699783487905,1.2550421736809056
C(supersector)[T.Real Estate],-0.331540328747693,0.4494434773007105,-0.7376685734519367,0.460715873734319,-1.2124333573435309,0.5493526998481448
C(supersector)[T.Technology],1.3377630119415767,0.43727970088908574,3.059284501936885,0.002218663429179299,0.4807105470285211,2.1948154768546324
C(supersector)[T.Utilities],-0.06971482074908708,0.5682456642584726,-0.12268429859480029,0.9023570978359253,-1.1834558570667326,1.0440262155685587
C(año)[T.2023],-0.009711442893370711,0.25026616924963085,-0.03880445736029116,0.9690462910532407,-0.5002241211714528,0.4808012353847113
C(año)[T.2024],0.5095530405079844,0.23480950221181376,2.170069932043609,0.030001548597249073,0.04933487294505129,0.9697712080709175
C(region)[T.Nordicos],0.6122847084582961,0.2680387629618162,2.284314036121409,0.02235308157812501,0.08693838659246766,1.1376310303241244
C(region)[T.Otros],3.7670659066907475,4.276388670746867,0.8808988604005523,0.37837256435502153,-4.614501871868226,12.148633685249722
C(region)[T.Sur],-0.5051762669343879,0.35105741897611203,-1.4390132201386776,0.15014677715902092,-1.1932361646331557,0.18288363076437986
C(region)[T.UK_Irlanda],0.7509033337846767,0.2514262474238453,2.986574955791433,0.002821216677796716,0.25811694406588337,1.2436897235034698
log_cap,-0.026252564527145677,0.07411183953243189,-0.3542290232272181,0.723167254517496,-0.17150910083872398,0.11900397178443263
ROA,1.4451940070738802,1.1088082279111215,1.3033759767425916,0.19244643395216443,-0.728030185393598,3.6184181995413587
deuda_equity,0.016374928971849206,0.048443367276075795,0.3380221048328347,0.7353465299672839,-0.07857232617910558,0.111322184122804
