,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.22421466352369362,0.13000570879419057,1.724652444906426,0.08459012598820319,-0.030591843497522087,0.47902117054490934
C(supersector)[T.Communication Services],-0.022647063618134133,0.024768785474708073,-0.91433888194718,0.3605388058202218,-0.07119299108936078,0.025898863853092518
C(supersector)[T.Consumer Discretionary],0.024219682390083156,0.022830483878826587,1.0608484042050872,0.28875880049077884,-0.02052724376203927,0.06896660854220558
C(supersector)[T.Consumer Staples],-0.037049067801212095,0.02575450286879259,-1.438547192697143,0.1502788573090694,-0.08752696586377906,0.013428830261354878
C(supersector)[T.Energy],0.026961338208034827,0.034172787652418934,0.7889709930095902,0.43012896040800297,-0.04001609484204134,0.093938771258111
C(supersector)[T.Financials],0.011734556513055064,0.023946991377473914,0.49002216303854124,0.6241182158055331,-0.03520068412488503,0.05866979715099516
C(supersector)[T.Health Care],0.1299603061905864,0.06386374199360735,2.034962282723665,0.04185466823987203,0.004789671965157755,0.25513094041601503
C(supersector)[T.Industrials],0.014266307767206917,0.027204228830089938,0.5244150773877957,0.5999898719755199,-0.039053000966955576,0.0675856165013694
C(supersector)[T.Real Estate],-0.07489773814265252,0.022290369557109925,-3.360094050964826,0.000779159430078275,-0.11858605967667601,-0.031209416608629033
C(supersector)[T.Technology],0.003676797201438174,0.049455713416486115,0.07434524643238712,0.940735675175268,-0.09325461992460896,0.10060821432748532
C(supersector)[T.Utilities],-0.025127196484633962,0.03929304383108199,-0.6394820567389485,0.5225093828048963,-0.10214014723650841,0.051885754267240486
C(año)[T.2023],-0.013392914369852713,0.016772544206540275,-0.7985022549310252,0.42457908511732223,-0.04626649694377759,0.019480668204072165
C(año)[T.2024],-0.0418003462688638,0.01679970132811379,-2.4881600840672204,0.012840591957148925,-0.07472715582299655,-0.00887353671473106
C(region)[T.Nordicos],-0.006363128952651771,0.019056160211739732,-0.3339145390230139,0.7384440483205849,-0.043712516651286816,0.03098625874598327
C(region)[T.Sur],0.006668078041501952,0.024131040167092034,0.27632783316963433,0.7822962800522925,-0.04062789159548784,0.05396404767849175
C(region)[T.UK_Irlanda],0.07010295117898899,0.018771381382008654,3.7345653871898232,0.00018803963307633412,0.03331171973018632,0.10689418262779166
climate_specificity_spec,0.22019888543617017,0.07473907717099042,2.9462350054495885,0.003216679079705864,0.0737129859432692,0.36668478492907114
log_cap,-0.004529502977436141,0.00561303103022805,-0.8069620411936531,0.41968835282669514,-0.015530841640788873,0.006471835685916592
ROA,0.08321082857673211,0.09613696486802357,0.8655445768541121,0.3867399603389341,-0.10521416014758657,0.2716358173010508
