variable,VIF
C(supersector)[T.Communication Services],1.8380408234704377
C(supersector)[T.Consumer Discretionary],2.6792294345788323
C(supersector)[T.Consumer Staples],1.798094810916196
C(supersector)[T.Energy],1.5548756339636352
C(supersector)[T.Financials],2.720058613794612
C(supersector)[T.Health Care],1.711359222344983
C(supersector)[T.Industrials],1.9750192275849328
C(supersector)[T.Real Estate],1.5198083454965499
C(supersector)[T.Technology],1.5700232216664123
C(supersector)[T.Utilities],1.7007386949009908
C(año)[T.2023],1.3655539204618636
C(año)[T.2024],1.3683882885893672
C(region)[T.Nordicos],1.4289953379876936
C(region)[T.Otros],1.1155301332135215
C(region)[T.Sur],1.299997095829693
C(region)[T.UK_Irlanda],1.1696664854818997
climate_specificity_spec,1.133756321647862
log_cap,1.3400745856029141
ROA,1.0908175484217972
