doc_id,n_parrafos,topic_dominante,topic_dominante_share,outlier_share
E001_STLAM_2022,314,239,0.1401,0.3535
E001_STLAM_2023,335,239,0.1224,0.3552
E001_STLAM_2024,700,239,0.0557,0.42
E002_MBG_2022,957,24,0.3793,0.2832
E002_MBG_2023,675,24,0.3496,0.3407
E002_MBG_2024,1046,24,0.4101,0.2859
E003_CON_2022,165,259,0.0727,0.5455
E003_CON_2023,652,126,0.0951,0.4985
E003_CON_2024,1228,16,0.0334,0.509
E004_FR_2022,1093,18,0.4273,0.2608
E004_FR_2023,1065,18,0.4094,0.2873
E004_FR_2024,1384,18,0.2594,0.3194
E005_CABK_2022,167,52,0.1737,0.497
E005_CABK_2023,32,52,0.125,0.375
E005_CABK_2024,2321,52,0.2413,0.3774
E006_HSBA_2022,817,0,0.0734,0.3941
E006_HSBA_2023,511,35,0.1272,0.4149
E006_HSBA_2024,653,35,0.0949,0.4242
E007_SEB_2022,385,0,0.0805,0.5766
E007_SEB_2023,565,35,0.0442,0.5558
E007_SEB_2024,702,35,0.094,0.5513
E008_RBI_2022,29,295,0.1379,0.5172
E008_RBI_2023,38,268,0.1053,0.6842
E008_RBI_2024,362,295,0.1823,0.4558
E009_UPM_2022,439,36,0.0979,0.5103
E009_UPM_2023,592,36,0.1149,0.5118
E009_UPM_2024,984,36,0.1443,0.502
E010_BOL_2022,123,201,0.1707,0.374
E010_BOL_2023,125,201,0.472,0.304
E010_BOL_2024,882,321,0.1043,0.4172
E011_ACX_2022,68,444,0.1912,0.4706
E011_ACX_2023,160,444,0.1688,0.3188
E011_ACX_2024,351,444,0.0883,0.4074
E012_VOE_2022,45,218,0.2667,0.4
E012_VOE_2023,65,218,0.2154,0.4615
E012_VOE_2024,581,218,0.2324,0.3804
E013_1COV_2022,866,145,0.1062,0.4457
E013_1COV_2023,546,145,0.0989,0.4194
E013_1COV_2024,757,145,0.1295,0.3633
E014_SY1_2022,35,8,0.1429,0.4
E014_SY1_2023,111,167,0.1712,0.3423
E014_SY1_2024,681,167,0.2775,0.3186
E015_YAR_2022,93,267,0.3333,0.3118
E015_YAR_2023,989,158,0.1244,0.3458
E015_YAR_2024,1156,135,0.154,0.3296
E016_BBY_2022,541,176,0.0943,0.4492
E016_BBY_2023,670,176,0.1224,0.4104
E016_BBY_2024,692,176,0.0983,0.4032
E017_SKA B_2022,353,163,0.238,0.3966
E017_SKA B_2023,427,163,0.1569,0.4145
E017_SKA B_2024,389,163,0.1697,0.3985
E018_DG_2022,85,9,0.0706,0.4941
E018_DG_2023,900,171,0.16,0.4456
E018_DG_2024,22,44,0.1364,0.6818
E019_EN_2022,619,12,0.4346,0.2213
E019_EN_2023,1352,12,0.3595,0.2478
E019_EN_2024,2623,12,0.2531,0.2997
E020_EFGI_2022,328,256,0.1707,0.4573
E020_EFGI_2023,1690,1,0.0763,0.4882
E020_EFGI_2024,664,256,0.0904,0.4608
E021_BRNW_2022,21,499,0.1905,0.5238
E021_BRNW_2023,20,499,0.25,0.4
E021_BRNW_2024,469,499,0.1087,0.4136
E022_BOSS_2022,95,319,0.0737,0.4316
E022_BOSS_2023,332,319,0.1506,0.4548
E022_BOSS_2024,487,319,0.0821,0.4764
E023_CFR_2022,56,97,0.0893,0.5714
E023_CFR_2023,51,4,0.1569,0.6471
E023_CFR_2024,55,4,0.1636,0.6
E024_KER_2022,692,136,0.1301,0.4465
E024_KER_2023,305,136,0.0656,0.4262
E024_KER_2024,600,136,0.2,0.36
E025_ADS_2022,130,155,0.1154,0.3538
E025_ADS_2023,220,155,0.0773,0.4136
E025_ADS_2024,1397,155,0.1432,0.4245
E026_REP_2022,591,236,0.0355,0.4619
E026_REP_2023,629,3,0.0525,0.4324
E026_REP_2024,2208,236,0.0371,0.4601
E027_AKERBP_2022,74,202,0.2973,0.3919
E027_AKERBP_2023,743,202,0.1359,0.432
E027_AKERBP_2024,648,202,0.0802,0.5293
E028_NSN_2022,679,214,0.1105,0.3918
E028_NSN_2023,689,214,0.119,0.4049
E028_NSN_2024,172,217,0.1221,0.3663
E029_TGS_2022,161,401,0.1677,0.441
E029_TGS_2023,257,401,0.1089,0.4903
E029_TGS_2024,506,437,0.0968,0.5316
E030_VESTAS_2022,164,230,0.1768,0.4329
E030_VESTAS_2023,78,230,0.4744,0.3462
E030_VESTAS_2024,1046,230,0.0335,0.4924
E031_LSEG_2022,71,58,0.0563,0.4648
E031_LSEG_2023,217,0,0.0737,0.5576
E031_LSEG_2024,256,0,0.082,0.4922
E032_ALLFG_2022,152,30,0.0658,0.4408
E032_ALLFG_2023,88,37,0.1023,0.4886
E032_ALLFG_2024,254,30,0.0354,0.5039
E033_WEND_2022,853,86,0.204,0.3072
E033_WEND_2023,539,86,0.2968,0.3117
E033_WEND_2024,492,86,0.189,0.3354
E034_III_2022,414,426,0.0435,0.4952
E034_III_2023,261,5,0.0498,0.4943
E034_III_2024,281,0,0.0427,0.4484
E035_EXO_2022,275,247,0.16,0.4182
E035_EXO_2023,257,247,0.1712,0.358
E035_EXO_2024,314,247,0.1592,0.4172
E036_GLB_2022,411,1,0.0925,0.4647
E036_GLB_2023,471,1,0.0892,0.5032
E036_GLB_2024,389,1,0.0977,0.5064
E037_PERP_2022,606,130,0.1238,0.3416
E037_PERP_2023,784,178,0.0931,0.3571
E037_PERP_2024,925,178,0.0973,0.3514
E038_CPR_2022,124,3,0.0887,0.3468
E038_CPR_2023,161,461,0.0932,0.3665
E038_CPR_2024,1688,162,0.128,0.3981
E039_NOVO B_2022,129,6,0.2558,0.2481
E039_NOVO B_2023,99,6,0.2323,0.2626
E039_NOVO B_2024,333,3,0.0721,0.3724
E040_CTEC_2022,266,0,0.1729,0.3722
E040_CTEC_2023,379,6,0.1003,0.4063
E040_CTEC_2024,560,6,0.0839,0.4321
E041_ALC_2022,4,384,0.25,0.75
E041_ALC_2023,17,94,0.3529,0.5294
E041_ALC_2024,12,198,0.1667,0.8333
E042_QIA_2022,240,6,0.1375,0.3167
E042_QIA_2023,362,6,0.1077,0.3425
E042_QIA_2024,585,6,0.1145,0.3709
E043_LONN_2022,52,8,0.1154,0.4038
E043_LONN_2023,45,6,0.1556,0.5111
E043_LONN_2024,43,6,0.2093,0.3256
E044_LDO_2022,133,2,0.0526,0.3985
E044_LDO_2023,115,41,0.0435,0.5652
E044_LDO_2024,36,19,0.0556,0.6111
E045_BOL_2022,13,123,0.2308,0.3077
E045_BOL_2023,660,123,0.2318,0.3091
E045_BOL_2024,1002,123,0.1287,0.483
E046_SGSN_2022,295,0,0.0576,0.5695
E046_SGSN_2023,319,0,0.0502,0.5455
E046_SGSN_2024,249,0,0.0442,0.4859
E047_SAF_2022,409,41,0.2103,0.423
E047_SAF_2023,431,41,0.2227,0.4176
E047_SAF_2024,1056,41,0.1136,0.4508
E048_CS_2022,588,10,0.585,0.1769
E048_CS_2023,1524,10,0.3766,0.3353
E048_CS_2024,1366,10,0.4451,0.265
E049_TLX_2022,84,151,0.3452,0.369
E049_TLX_2023,334,151,0.2216,0.3503
E049_TLX_2024,946,151,0.1438,0.4228
E050_AV_2022,270,234,0.1556,0.4296
E050_AV_2023,296,234,0.2061,0.4122
E050_AV_2024,186,234,0.1935,0.3925
E051_TRYG_2022,49,121,0.551,0.1633
E051_TRYG_2023,400,121,0.2525,0.34
E051_TRYG_2024,487,121,0.3388,0.2998
E052_ZURN_2022,671,0,0.1162,0.4829
E052_ZURN_2023,762,0,0.0932,0.5105
E052_ZURN_2024,793,0,0.0731,0.4981
E053_VPLAY B_2022,329,370,0.0912,0.5137
E053_VPLAY B_2023,353,370,0.1218,0.4278
E053_VPLAY B_2024,309,370,0.0485,0.4304
E054_ONT_2022,205,78,0.1805,0.2585
E054_ONT_2023,444,78,0.2973,0.2568
E054_ONT_2024,605,78,0.4777,0.2033
E055_ULVR_2022,741,284,0.1269,0.4413
E055_ULVR_2023,36,57,0.0556,0.6111
E055_ULVR_2024,278,20,0.0396,0.4856
E056_DIA_2023,197,20,0.066,0.3959
E056_DIA_2024,31,6,0.129,0.4516
E057_COLR_2022,202,89,0.0693,0.4554
E057_COLR_2023,212,3,0.0943,0.3915
E057_COLR_2024,348,89,0.0632,0.3879
E058_SGRO_2022,110,0,0.1455,0.4818
E058_SGRO_2023,94,0,0.1702,0.4255
E058_SGRO_2024,177,0,0.1017,0.5706
E059_MRL_2022,126,544,0.127,0.5
E059_MRL_2023,124,544,0.1532,0.4839
E059_MRL_2024,120,544,0.15,0.5083
E060_GFC_2022,309,110,0.246,0.343
E060_GFC_2023,577,1,0.2461,0.4211
E060_GFC_2024,405,110,0.3309,0.3284
E061_CAST_2022,338,73,0.3757,0.2544
E061_CAST_2023,437,73,0.4142,0.2243
E061_CAST_2024,521,73,0.3417,0.2649
E062_DHER_2022,12,62,0.25,0.4167
E062_DHER_2023,185,449,0.0378,0.5459
E062_DHER_2024,308,38,0.0357,0.4708
E063_TPK_2022,137,55,0.0438,0.6204
E063_TPK_2023,123,68,0.0732,0.6179
E063_TPK_2024,114,0,0.3246,0.4737
E064_HMB_2022,171,376,0.0643,0.3801
E064_HMB_2023,242,376,0.1529,0.3636
E064_HMB_2024,593,376,0.0641,0.4013
E065_MKS_2022,109,0,0.1376,0.3853
E065_MKS_2023,171,0,0.0994,0.5614
E065_MKS_2024,211,30,0.0521,0.5355
E066_JD_2022,209,229,0.0526,0.4067
E066_JD_2023,315,30,0.0444,0.5206
E066_JD_2024,217,0,0.0829,0.4747
E067_MELE_2022,247,129,0.2794,0.413
E067_MELE_2023,256,129,0.2461,0.3867
E067_MELE_2024,581,129,0.2375,0.3201
E068_SGE_2022,478,248,0.1318,0.4163
E068_SGE_2023,465,248,0.1462,0.4366
E068_SGE_2024,45,248,0.1333,0.4
E069_STMPA_2022,203,5,0.0887,0.33
E069_STMPA_2023,229,1,0.1703,0.5328
E069_STMPA_2024,898,3,0.0724,0.4154
E070_VOD_2022,851,346,0.087,0.4465
E070_VOD_2023,99,112,0.1717,0.3737
E070_VOD_2024,171,112,0.0994,0.386
E071_SCMN_2022,35,271,0.1143,0.8286
E071_SCMN_2023,173,271,0.1156,0.526
E071_SCMN_2024,231,271,0.1126,0.5844
E072_FNTN_2022,260,314,0.15,0.4115
E072_FNTN_2023,273,314,0.1575,0.37
E072_FNTN_2024,510,511,0.0784,0.4765
E073_ORAN_2022,181,25,0.2541,0.3591
E073_ORAN_2023,2403,25,0.2455,0.3591
